empty_slots,free_bikes,id,latitude,longitude,name
12,7,17a3320a52bcc62161908967f8a06613,49.264466,-123.085183,St Catherines & 7th
11,5,aed214941445e0345aa3254805a9e8b8,49.280197,-123.065859,Pender & Victoria
11,5,d67640af1b3b3b3ce47169dbc9182470,49.266725,-123.065925,Victoria & 4th
10,2,b2c6aaf2b4fa8937bfe3941c038683aa,49.261188,-123.066009,Victoria & 10th
10,8,0a43242bee10cd33f539af2c1bf5ecbf,49.256857,-123.065646,15th & Victoria (Trout Lake)
14,4,198810b9b0af5d229d1b6fa12c620e06,49.283986,-123.065264,Triumph & Victoria
2,12,d02e2eaafda91425eddd24d8acd328ab,49.257985,-123.083366,Windsor & 14th
13,3,08c7a90bf297fde8c1f1156db13987d4,49.257939,-123.089531,14th & Fraser
7,7,97005696a3dff3366a8410b817388990,49.256496,-123.075426,15th & Knight
10,6,c52e51e3288a00993bdf892fdc2c2c2c,49.283236,-123.070443,Commercial & Pandora
7,9,7d231a181d21056e4ba80c4d9939fe92,49.267266,-123.090786,Carolina & Great Northern Way
6,9,dcf3d5c9f1b3a46f0ef2eb2247931f89,49.265242,-123.095577,6th & Prince Edward
3,13,9bee3167f10c884044cea0d36afcd1ef,49.265213,-123.090785,6th & Carolina
25,13,45a4c865db23e1cad0209afa5a799de0,49.302577,-123.155616,Stanley Park - Third Beach Parking Lot
2,13,fe0c57d04d6e682d284d501446095fc9,49.277595,-123.09583,Union & Dunlevy
8,7,b10d422b045805f1c350c47c983381e8,49.279235,-123.087528,Keefer & Hawks
8,8,4e8fdc99e77ba1b70d90e124a704d0c1,49.277333,-123.087359,Hawks & Union
12,10,b562f08327af465e4531e20226789489,49.273103,-123.069892,Charles & Commercial
5,15,4ac99b928a91d8ccb785c9d0b805adb6,49.261973,-123.09725,10th & Kingsway
12,10,99c81f71db35911c79a86a1c5edc5604,49.275295,-123.132585,Beach & Hornby
9,19,e12234b6f1299d178f34bffaca92f043,49.285871,-123.12105,Burrard Station (Melville & Dunsmuir)
7,6,5a34495280727a5b50b9aa41e14e9a16,49.284893,-123.128685,Bute & Barclay
5,16,9130f9aa3bb037a04c17e6f2630327e5,49.263962,-123.112621,8th & Yukon
1,11,9a48ca226f82f52d02707b054ebc7e9e,49.277615,-123.091654,Princess & Union
14,8,b3bb9f58d3530d33a1a09b6be9e973e0,49.282214,-123.114101,Dunsmuir & Richards
12,8,c2f4e05c01ea0d27934ac7dbc50cbd0c,49.266456,-123.100324,5th & Main
7,15,9a5478470b56379c31cf4e671584d5cc,49.268216,-123.103168,3rd & Quebec
3,13,257715b845828e027ff35dd0f11c971e,49.284554,-123.111031,Richards & Cordova
18,2,910027847876403b57f1013c16504688,49.280216,-123.117639,Richards & Robson
9,17,06487275cd19694152824c7c3088e8ff,49.266314,-123.116011,Olympic Village Station
1,12,b428c0e64d9b9fdb3bf8e85c95ffdf6b,49.280852,-123.084746,Campbell & Hastings
1,17,d085c6749a32517e1fb0d070e4128402,49.285512,-123.1384,Cardero & Davie
21,18,a6aec7b8c25da4c02829cd7839b8933d,49.27821,-123.136972,Aquatic Centre
1,21,c924f6a41b130fad49cfae47271314bc,49.281301,-123.139108,Beach & Broughton
1,19,8e93d0da1ee6caadf21ed9575b5fa9da,49.283298,-123.142288,Beach & Cardero
14,4,9413725a5d3bb5ce2ad0682b07a3ffab,49.280787,-123.115271,Georgia & Homer
9,9,7ed043a19e6a4ece742fe747b663bdbf,49.266476,-123.109389,Columbia & 5th
2,18,ce5dccf5a0f190bb4567a2fd93e7971e,49.290587,-123.13625,Haro & Denman
14,4,1d442ad1a71774c82688a45954e47bfd,49.262835,-123.152626,Arbutus & 10th
8,5,2781435bde344e1b64f1bebac6bc9008,49.256825,-123.105234,Ontario & 16th
8,6,e9b37f2d9b7b2e2e3ade73f13acb69b2,49.275683,-123.124388,Richards & Davie
11,7,fffd87607aaae16fbb1f71615cbe7d17,49.263518,-123.09568,8th & Prince Edward
13,7,da8b6e94f90ad41a3f8de10596992372,49.28691,-123.128818,Jervis & Robson
5,12,32f70f7ae14ba87523c6286a6c4d5c37,49.282503,-123.124697,Smithe & Burrard
11,4,df5ab349a7a85d4b10da4cc3ec65c607,49.283749,-123.136133,Broughton & Davie
11,3,e0318460138ffbf4692005d5b5a9f900,49.262944,-123.148109,Cypress & 10th
18,14,db51c556fe50ec1deefbc9697c70cb51,49.27029,-123.135025,Granville Island
10,6,58a026f0c506caec20697a4f90538450,49.280427,-123.074082,McLean & Pender
6,10,0e0aef6fabaa808b3a3cef24657257a4,49.279259,-123.119145,Richards & Smithe
21,5,90c746df94ce1a12f1f617acfe4a8ce3,49.285836,-123.127265,Bute & Robson
14,6,80b5c12ef21fd47275d37b2c9935249c,49.272969,-123.164325,Trafalgar & Cornwall
15,9,899f59a9994302e8e1e4be01117ef707,49.27247,-123.185643,Alma & Point Grey
5,9,8d2d5bb3b9142f781f2a7f441e6bad7a,49.271471,-123.17731,Point Grey & Blenheim
10,14,5de0fe55497681d4cc9dd25509cf51ab,49.290112,-123.127062,Hastings & Broughton
13,4,2681455ba2d97283998a806b14d3e95c,49.263523,-123.155267,Yew & Broadway
11,11,064a7b39b1dbc4bfc4cf8f454e360c57,49.264928,-123.168068,8th & Macdonald
5,13,9c1397c06e07bf74fc049f1a0872eea0,49.264483,-123.173926,Balaclava & Broadway
6,20,9763838317308a4766b83696986a157b,49.264579,-123.18373,Dunbar & Broadway
11,5,c64ee19c62a363019ddbaedf71df2882,49.263746,-123.069892,Grandview & Commercial
10,4,421516af381a11f54d07fc79be68d3d3,49.258761,-123.127071,14th & Oak
5,13,38f045e3f43f86eae42ca4c60257ade0,49.268974,-123.190701,Wallace & 4th
7,13,5ba6e9725b1b0ee8cd25df976e47726b,49.273011,-123.159663,Balsam & Cornwall
5,11,f90ed7ad754ec04b7852941a480a4c77,49.266924,-123.173849,Balaclava & 6th
12,4,abfaf72456a4828a22f5bf60d3a80777,49.264326,-123.164725,Trafalgar & Broadway
6,10,2ff7eb4230654603592ab1b0780ec5e1,49.266636,-123.183661,Dunbar & 6th
12,12,ea9485fcdce0611243474d000e4ad248,49.254818,-123.114785,18th & Cambie
12,11,671ce9e4a92063620f772d2c57f0f3ab,49.268837,-123.177633,Blenheim & 4th
10,6,41a55a7e2908fbbd65175b794d26bc8d,49.255034,-123.120226,18th & Heather
9,7,a59924f0ff3fb481a7bd8a5e9c36858f,49.271044,-123.170661,Point Grey & Bayswater
7,8,89a0b49a66e54a7639ad960962148a3e,49.252691,-123.101289,20th & Main
16,2,44fc3d58831a9f2b919c7a3a1838b74a,49.272172,-123.097978,Station & Terminal
19,15,d40db8c27c5bd409d57cfa846f73c378,49.271082,-123.191458,Jericho Beach
13,11,4990fe5772f3b73eebeec125b41e478e,49.27808,-123.130557,Burrard & Drake
5,19,bf96df77771ef0ed710d8e0e67917f45,49.269969,-123.109623,Columbia & 1st
11,19,e75e83499d3fa2e174dc2a8ffd238119,49.287528,-123.142139,Davie & Beach
7,19,0438114d2e6b96118de69bc9775bb21e,49.28803,-123.142135,Morton & Denman
2,11,07b13214cb69f2ec007d888450f3d6bc,49.259579,-123.114769,13th & Cambie
2,16,f5e8fa1fc4252bda2f93dd27ed2d603f,49.2890705989865,-123.138407369468,Nelson & Denman
3,10,c2a9c5d0e4578b928554c86f3d2c1162,49.287782,-123.12395,Melville & Bute
7,12,5f45325fdd6334a4c0d3b62853b19fa6,49.28512,-123.11242,Seymour & Cordova
4,12,085a0e120a08a80a58c0ae0ff9da565a,49.247854,-123.153422,Arbutus & Nanton
8,8,8d5f47f01d7ad668419dfe9b7fe69c9a,49.265939,-123.1129,Yukon & 6th
3,13,bede4b24dae115d4cd43d2e6cc9812cb,49.261122,-123.097571,11th & Kingsway
9,8,680b1ddfd50c4397b365c9c00f09b0d1,49.267725,-123.11311,Wylie & 2nd
9,11,b26f83e904f3a778466ebcd763b7316a,49.245135,-123.116098,29th & Cambie
8,6,6620c54bd6b3a79800b2b67e999b24d0,49.274232,-123.129998,Rolston & Granville
12,8,7f091b50fbbd892bf9fb869a64c47120,49.238105,-123.154966,East Blvd & 37th
12,8,57d39a680c9407cda0fb4de6d9c55138,49.246243,-123.124373,28th & Willow
2,9,97388f4e4ea102a30345524bda465f4e,49.249722,-123.104991,Ontario & 23rd
13,9,066ecc3584913fa035ec1417323beb80,49.243375,-123.104978,30th & Ontario
7,13,b530d04d393d71cffb8b8b07f4a82380,49.282087,-123.056909,Franklin & Nanaimo
5,10,06bdc4d55f34b2a491305534fd5defda,49.283968,-123.061615,Lakewood & Triumph
8,10,8e44a17d2fa446ca220b90c7063b42ca,49.287464,-123.060771,Wall & Eton
15,3,7c17f51469f1a7145455f65ef6afbd87,49.285575,-123.061575,Lakewood & Oxford
11,3,e1432b72df561a1df34290679ec9c773,49.251358,-123.115637,22nd & Cambie
12,4,549f00f6039e8bb702a00dcca08a8ed0,49.249184,-123.116141,King Edward & Cambie
16,6,d8c4fe5e09b6f010fbaa85cc7302d66b,49.245535,-123.120496,Heather & 29th
0,25,0c42f45e4a14957ad4a6d521d0ba8bc3,49.289255,-123.132677,Cardero & Robson
8,11,62a202eb98c0a4b09ba6746f5ee94ab3,49.252656,-123.067965,Commercial & 20th
8,9,04f64fde5ba1ebde8ad78c74914adb34,49.259469,-123.145718,Burrard & 14th
18,6,cc2084e365f6f230fe26bae0b6867775,49.277178,-123.13,Hornby & Drake
6,14,f38bac9712f3beee2149ba2a97048878,49.291597,-123.129158,Cardero & Bayshore
12,10,9ee3bc9e836768e3e04e4f3328dae03b,49.247204,-123.101549,27th & Main
8,8,aa1cbf97abc3cd50515bc54633a9bb2a,49.2856698,-123.1125432,Cordova & Granville
6,8,13021bba7bbeca1ccd8726ca17da59e6,49.25094,-123.101306,22nd & Main
9,10,5699b40126e10c2f68eefc3eb18ff3a1,49.270783,-123.141564,1st & Fir
13,9,34fd37d12eb989b49518ef53941ee3ff,49.264019,-123.209176,Sasamat & 10th
17,3,b7dd37a7dd668d6d10024b7f18acc438,49.2658,-123.20596,Trimble & 8th
8,12,cc25ae4f093b33ba0afd1dbc0dd20324,49.265442,-123.187738,Highbury & 8th
17,3,db1e56a71a3279f51301d732ee5a055b,49.267561,-123.252261,IK Barber Learning Centre
16,12,5726de7c5646b82f7aaeafba50aee03e,49.2665793,-123.2485487,War Memorial Gym
15,9,cde61c70e5556ee2fe3ceb9d958b6482,49.26262,-123.2431,Pharmaceutical Sciences
0,0,852212d6d52b5f00544fad01d21c7db2,49.278529,-123.100017,Georgia & Main
10,10,3dae5d936bb6b222d135eff52833e7f4,49.282047,-123.133057,Bute & Davie
